"Worker_ID","Name","Gender","Salary","Level"
181,"Employee_181","Female",5548,"B2"
182,"Employee_182","Male",27118,"B2"
183,"Employee_183","Male",30843,"B2"
184,"Employee_184","Male",7095,"B2"
185,"Employee_185","Male",20547,"B2"
186,"Employee_186","Female",17221,"A1"
187,"Employee_187","Female",19799,"A1"
188,"Employee_188","Male",25872,"B2"
189,"Employee_189","Male",16402,"A1"
190,"Employee_190","Female",24754,"A5-F"
191,"Employee_191","Female",14586,"A1"
192,"Employee_192","Male",26149,"B2"
193,"Employee_193","Male",26692,"B2"
194,"Employee_194","Female",29521,"A5-F"
195,"Employee_195","Female",13502,"A1"
196,"Employee_196","Male",11332,"A1"
197,"Employee_197","Male",6441,"B2"
198,"Employee_198","Female",10501,"A1"
199,"Employee_199","Male",23469,"B2"
200,"Employee_200","Female",30683,"B2"
201,"Employee_201","Female",21702,"A5-F"
202,"Employee_202","Female",7893,"A5-F"
203,"Employee_203","Female",31437,"B2"
204,"Employee_204","Male",28953,"B2"
205,"Employee_205","Female",23049,"A5-F"
206,"Employee_206","Female",29695,"A5-F"
207,"Employee_207","Female",7759,"A5-F"
208,"Employee_208","Male",28882,"B2"
209,"Employee_209","Female",22940,"A5-F"
210,"Employee_210","Female",27968,"A5-F"
211,"Employee_211","Female",28750,"A5-F"
212,"Employee_212","Male",24954,"B2"
213,"Employee_213","Male",21982,"B2"
214,"Employee_214","Female",27599,"A5-F"
215,"Employee_215","Female",20049,"A5-F"
216,"Employee_216","Female",11820,"A1"
217,"Employee_217","Female",19416,"A1"
218,"Employee_218","Male",34750,"B2"
219,"Employee_219","Female",21517,"A5-F"
220,"Employee_220","Male",25903,"B2"
221,"Employee_221","Female",32379,"B2"
222,"Employee_222","Male",11149,"A1"
223,"Employee_223","Male",24583,"B2"
224,"Employee_224","Male",30454,"B2"
225,"Employee_225","Female",30243,"B2"
226,"Employee_226","Female",10919,"A1"
227,"Employee_227","Male",13240,"A1"
228,"Employee_228","Male",21098,"B2"
229,"Employee_229","Female",10595,"A1"
230,"Employee_230","Male",24694,"B2"
231,"Employee_231","Male",12507,"A1"
232,"Employee_232","Female",21576,"A5-F"
233,"Employee_233","Female",32332,"B2"
234,"Employee_234","Male",9398,"B2"
235,"Employee_235","Female",20507,"A5-F"
236,"Employee_236","Female",28425,"A5-F"
237,"Employee_237","Female",31813,"B2"
238,"Employee_238","Female",8695,"A5-F"
239,"Employee_239","Female",5190,"B2"
240,"Employee_240","Male",27973,"B2"
241,"Employee_241","Male",27646,"B2"
242,"Employee_242","Female",25082,"A5-F"
243,"Employee_243","Male",12689,"A1"
244,"Employee_244","Female",18938,"A1"
245,"Employee_245","Male",20418,"B2"
246,"Employee_246","Male",9912,"B2"
247,"Employee_247","Male",33550,"B2"
248,"Employee_248","Female",15300,"A1"
249,"Employee_249","Female",14637,"A1"
250,"Employee_250","Female",16371,"A1"
251,"Employee_251","Male",6315,"B2"
252,"Employee_252","Female",6396,"B2"
253,"Employee_253","Female",10654,"A1"
254,"Employee_254","Male",23546,"B2"
255,"Employee_255","Male",32553,"B2"
256,"Employee_256","Male",10719,"A1"
257,"Employee_257","Male",25099,"B2"
258,"Employee_258","Male",18237,"A1"
259,"Employee_259","Female",34369,"B2"
260,"Employee_260","Male",20318,"B2"
261,"Employee_261","Female",19074,"A1"
262,"Employee_262","Female",26706,"A5-F"
263,"Employee_263","Female",30333,"B2"
264,"Employee_264","Male",34664,"B2"
265,"Employee_265","Female",8317,"A5-F"
266,"Employee_266","Male",6463,"B2"
267,"Employee_267","Female",16186,"A1"
268,"Employee_268","Male",21634,"B2"
269,"Employee_269","Male",7607,"B2"
270,"Employee_270","Male",13834,"A1"
271,"Employee_271","Male",7592,"B2"
272,"Employee_272","Male",14181,"A1"
273,"Employee_273","Male",23593,"B2"
274,"Employee_274","Female",10441,"A1"
275,"Employee_275","Male",15815,"A1"
276,"Employee_276","Female",11311,"A1"
277,"Employee_277","Male",33089,"B2"
278,"Employee_278","Male",28315,"B2"
279,"Employee_279","Male",27605,"B2"
280,"Employee_280","Male",22048,"B2"
281,"Employee_281","Female",6516,"B2"
282,"Employee_282","Female",28750,"A5-F"
283,"Employee_283","Male",26927,"B2"
284,"Employee_284","Male",13636,"A1"
285,"Employee_285","Male",8042,"B2"
286,"Employee_286","Female",29670,"A5-F"
287,"Employee_287","Female",17181,"A1"
288,"Employee_288","Female",33111,"B2"
289,"Employee_289","Male",13570,"A1"
290,"Employee_290","Female",6365,"B2"
291,"Employee_291","Male",15460,"A1"
292,"Employee_292","Male",20031,"B2"
293,"Employee_293","Male",30195,"B2"
294,"Employee_294","Male",5447,"B2"
295,"Employee_295","Male",5241,"B2"
296,"Employee_296","Female",12070,"A1"
297,"Employee_297","Female",32437,"B2"
298,"Employee_298","Female",19279,"A1"
299,"Employee_299","Male",20895,"B2"
300,"Employee_300","Male",29379,"B2"
301,"Employee_301","Female",12069,"A1"
302,"Employee_302","Female",21790,"A5-F"
303,"Employee_303","Male",27756,"B2"
304,"Employee_304","Female",12391,"A1"
305,"Employee_305","Male",24216,"B2"
306,"Employee_306","Male",6497,"B2"
307,"Employee_307","Female",32322,"B2"
308,"Employee_308","Male",29568,"B2"
309,"Employee_309","Male",14656,"A1"
310,"Employee_310","Male",32818,"B2"
311,"Employee_311","Female",16286,"A1"
312,"Employee_312","Male",25697,"B2"
313,"Employee_313","Female",24939,"A5-F"
314,"Employee_314","Male",26127,"B2"
315,"Employee_315","Female",5078,"B2"
316,"Employee_316","Female",14722,"A1"
317,"Employee_317","Female",8235,"A5-F"
318,"Employee_318","Female",11380,"A1"
319,"Employee_319","Male",26058,"B2"
320,"Employee_320","Male",6830,"B2"
321,"Employee_321","Male",24360,"B2"
322,"Employee_322","Female",9517,"A5-F"
323,"Employee_323","Male",17780,"A1"
324,"Employee_324","Male",34401,"B2"
325,"Employee_325","Female",23203,"A5-F"
326,"Employee_326","Male",21345,"B2"
327,"Employee_327","Male",15448,"A1"
328,"Employee_328","Female",9694,"A5-F"
329,"Employee_329","Male",8764,"B2"
330,"Employee_330","Female",30452,"B2"
331,"Employee_331","Female",7405,"B2"
332,"Employee_332","Female",18352,"A1"
333,"Employee_333","Male",5903,"B2"
334,"Employee_334","Male",20488,"B2"
335,"Employee_335","Male",9943,"B2"
336,"Employee_336","Male",9545,"B2"
337,"Employee_337","Female",14447,"A1"
338,"Employee_338","Male",14549,"A1"
339,"Employee_339","Male",32019,"B2"
340,"Employee_340","Male",16993,"A1"
341,"Employee_341","Male",15055,"A1"
342,"Employee_342","Female",32262,"B2"
343,"Employee_343","Female",25520,"A5-F"
344,"Employee_344","Male",16527,"A1"
345,"Employee_345","Female",25152,"A5-F"
346,"Employee_346","Male",13392,"A1"
347,"Employee_347","Male",21435,"B2"
348,"Employee_348","Male",26728,"B2"
349,"Employee_349","Female",31690,"B2"
350,"Employee_350","Male",13871,"A1"
351,"Employee_351","Male",25225,"B2"
352,"Employee_352","Male",21960,"B2"
353,"Employee_353","Female",25936,"A5-F"
354,"Employee_354","Male",6014,"B2"
355,"Employee_355","Male",15118,"A1"
356,"Employee_356","Female",25428,"A5-F"
357,"Employee_357","Male",18331,"A1"
358,"Employee_358","Male",6229,"B2"
359,"Employee_359","Male",23555,"B2"
360,"Employee_360","Female",32215,"B2"
361,"Employee_361","Female",33422,"B2"
362,"Employee_362","Male",7787,"B2"
363,"Employee_363","Male",19380,"A1"
364,"Employee_364","Male",24736,"B2"
365,"Employee_365","Female",31714,"B2"
366,"Employee_366","Male",11796,"A1"
367,"Employee_367","Female",23387,"A5-F"
368,"Employee_368","Male",28689,"B2"
369,"Employee_369","Female",21989,"A5-F"
370,"Employee_370","Male",28976,"B2"
371,"Employee_371","Male",12947,"A1"
372,"Employee_372","Male",8079,"B2"
373,"Employee_373","Female",22222,"A5-F"
374,"Employee_374","Female",21304,"A5-F"
375,"Employee_375","Male",15986,"A1"
376,"Employee_376","Male",8238,"B2"
377,"Employee_377","Female",17786,"A1"
378,"Employee_378","Male",28806,"B2"
379,"Employee_379","Male",30174,"B2"
380,"Employee_380","Female",23041,"A5-F"
381,"Employee_381","Male",14122,"A1"
382,"Employee_382","Female",24333,"A5-F"
383,"Employee_383","Female",13262,"A1"
384,"Employee_384","Female",10891,"A1"
385,"Employee_385","Female",9041,"A5-F"
386,"Employee_386","Female",17368,"A1"
387,"Employee_387","Female",25399,"A5-F"
388,"Employee_388","Female",11919,"A1"
389,"Employee_389","Female",20938,"A5-F"
390,"Employee_390","Male",9971,"B2"
391,"Employee_391","Female",34567,"B2"
392,"Employee_392","Male",8508,"B2"
393,"Employee_393","Male",27253,"B2"
394,"Employee_394","Male",20332,"B2"
395,"Employee_395","Male",5269,"B2"
396,"Employee_396","Male",22819,"B2"
397,"Employee_397","Male",19472,"A1"
398,"Employee_398","Male",15912,"A1"
399,"Employee_399","Female",9723,"A5-F"
400,"Employee_400","Female",18357,"A1"
